Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Totem Transformation,Ape Shaman,2,,"Totem Transformation (Su): At 2nd level, an ape shaman may adopt an aspect of the ape while retaining her normal form The druid gains one of the following sets of bonuses and abilities: movement (climb speed 20 ft, +4 racial bonus on Climb checks), senses (low-light vision, scent), natural weapons (2 slams [1d6 for a Medium shaman], +2 on combat maneuver checks to grapple), or toughness (+2 natural armor bonus to AC, Endurance feat)",Druid,,,,Su
Totemic Summons,Ape Shaman,5,A Thousand Faces,"At 5th level, an ape shaman may cast summon nature's ally as a standard action when summoning primates, and these summoned creatures gain temporary hit points equal to her druid level She can apply the young template to any primate to reduce the level of the summoning spell required by one She can also increase the level of summoning required by one in order to apply either the advanced or the giant template, or increase it by two to apply both the advanced and giant templates This ability replaces a thousand faces",Druid,,,,Su
Wild Shape,Ape Shaman,6,,"At 6th level, an ape shaman's wild shape ability functions at her druid level –2 If she takes on the form of an ape, she instead uses her druid level +2",Druid,,,,Su
Bonus Feat,Ape Shaman,9,Venom Immunity,"Bonus Feat: At 9th level and every four levels thereafter, an ape shaman gains one of the following bonus feats: Diehard, Endurance, Great Fortitude, Improved Bull Rush, and Toughness She must meet the prerequisites for these bonus feats This ability replaces venom immunity",Druid,,,,
Nature Bond,Bat Shaman,1,,"A bat shaman who chooses an animal companion must select a bat If choosing a domain, the bat shaman must choose from Air, Animal, Darkness (Night subdomain), and Trickery (Deception subdomain)",Druid,,,,
Wild Empathy,Bat Shaman,1,,A bat shaman can use wild empathy with bats as a full-round action with a +4 bonus,Druid,,,,Ex
Totem Transformation,Bat Shaman,2,,"Totem Transformation (Su): At 2nd level, a bat shaman may adopt an aspect of the bat while retaining her normal form This ability functions as the ape shaman ability, but the druid may select from the following sets of bonuses and abilities: movement (fly speed 30 ft [average]; the druid must be at least 5th level to select this bonus), natural weapons (bite [1d4 for a Medium shaman]), or senses (blindsense 20 ft)",Druid,,,,Su
BROKE_7thBatShaman,Bat Shaman,2,,"While using totem transformation, the bat shaman may speak normally and can cast speak with animals (mammals only) at will",Druid,,,,mammals only
Totemic Summons,Bat Shaman,5,,"At 5th level, a bat shaman may cast summon nature's ally as a standard action when summoning bats, and these summoned creatures gain temporary hit points equal to her druid level This ability otherwise functions as the ape shaman ability",Druid,,,,Su
Wild Shape,Bat Shaman,6,,"At 6th level, a bat shaman's wild shape ability functions at her druid level –2 If she takes on the form of a bat, she instead uses her druid level + 2",Druid,,,,Su
Bonus Feat,Bat Shaman,9,Venom Immunity,"Bonus Feat: At 9th level and every four levels thereafter, a bat shaman gains one of the following bonus feats: Acrobatic, Agile Maneuvers, Improved Initiative, Lightning Reflexes, or Skill Focus (Perception) She must meet the prerequisites for these bonus feats This ability replaces venom immunity",Druid,,,,
Nature Bond,Boar Shaman,1,,"A boar shaman who chooses an animal companion must select a boar If choosing a domain, the boar shaman must choose from the Animal, Destruction (Rage), Protection, and Strength domains",Druid,,,,
Wild Empathy,Boar Shaman,1,,A boar shaman can use wild empathy with porcine creatures as a full-round action with a +4 bonus,Druid,,,,Ex
Totem Transformation,Boar Shaman,2,,"Totem Transformation (Su): At 2nd level, a boar shaman may adopt an aspect of the boar while retaining her normal form This ability functions as the ape shaman ability, but the druid may select from the following sets of bonuses and abilities: movement (+10 enhancement bonus to land speed), senses (low-light vision, scent), natural weapons (gore [1d8 for a Medium druid], +2 on combat maneuver checks to overrun), or toughness (+2 natural armor bonus to AC, Endurance feat) While using totem transformation, the boar shaman may speak normally and can cast speak with animals (boars and related animals only) at will",Druid,,,,Su
Totemic Summons,Boar Shaman,5,,"At 5th level, a boar shaman may cast summon nature's ally as a standard action when summoning boars or other porcine creatures, and these summoned creatures gain temporary hit points equal to her druid level This ability otherwise functions as the ape shaman ability",Druid,,,,Su
Wild Shape,Boar Shaman,6,,"At 6th level, a boar shaman's wild shape ability functions at her druid level –2 If she takes on the form of a boar, she instead uses her druid level +2",Druid,,,,Su
Bonus Feat,Boar Shaman,9,Venom Immunity,"Bonus Feat: At 9th level and every four levels thereafter, a boar shaman gains one of the following bonus feats: Bleeding Critical, Blind-Fight, Diehard, or Improved Overrun She must meet the prerequisites for these bonus feats This ability replaces venom immunity",Druid,,,,
Bonus Languages,Standard Druid,1,,"Druidic, can also choose to learn Sylvan.",Druid,0,,,
Chaotic Evil Good Lawful Spells,Standard Druid,1,,,Druid,0,,,
Nature Bond,Standard Druid,1,,Domain or Animal Companion,Druid,0,,,
Nature Sense,Standard Druid,1,,+2 Nature and Survival,Druid,1,,,
Orisons,Standard Druid,1,,Cast unlimited number of 0 level spells.,Druid,1,,,
Spells,Standard Druid,1,,Can cast spells that are prepared ahead of time. Max spells per day {0},Druid,1,,,
Spontaneous Casting,Standard Druid,1,,"Cast any \""Summon Natures Ally\"" spell in place of a sacrificed spell of equal or higher level.",Druid,0,,,
Weapon And Armor Proficiency,Standard Druid,1,,,Druid,1,,,
Wild Empathy,Standard Druid,1,,Improve the attitude of an animal.,Druid,1,,,
Woodland Stride,Standard Druid,2,,Move through undergrowth at normal speed without taking damage.,Druid,0,,,
Trackless Step,Standard Druid,3,,Leaves no trail in natural surroundings and cannot be tracked.,Druid,0,,,
Resist Natures Lure,Standard Druid,4,,+4 vs Fey,Druid,0,,,
Wild Shape,Standard Druid,4,,Turn self into an animal.,Druid,0,,,
Venom Immunity,Standard Druid,9,,Immunity to all poison.,Druid,1,,,
A Thousand Faces,Standard Druid,13,,Change appearance at will.,Druid,0,,,
Timeless Body,Standard Druid,15,,No longer takes ability score negatives for age.,Druid,0,,,
Favored Terrain,World Walker,3,"Trackless Step, Reduce Nature's Lore","At 3rd level, the world walker gains the ranger's favored terrain ability She treats her druid level as her ranger level for this ability If she has levels in both classes, both class's levels stack for determining the effect of this ability This ability replaces trackless step and reduce nature's lore",Druid,,,,Ex
Path of Trees,World Walker,9,Both Venom Immunity And Timeless Body,"At 9th level, once a day, a wanderer can step within a tree and then teleport from that tree to another one in a manner similar to the tree stride spell She gains an extra use of this ability each day at 12th level, and a third use of this ability at 15th level Furthermore, a world walker of 13th level or higher can use this ability to teleport to any other tree of its type up to 100 miles away This ability replaces both venom immunity and timeless body",Druid,,,,Su
Weapon and Armor Proficiency,Standard Duelist,1,,The duelist is proficient with all simple and martial weapons Duelists are proficient with light armor but not with shields,Duelist,,,,
Canny Defense,Standard Duelist,1,,"When wearing light or no armor and not using a shield, a duelist adds 1 point of Intelligence bonus (if any) per duelist class level as a dodge bonus to her Armor Class while wielding a melee weapon If a duelist is caught flat-footed or otherwise denied her Dexterity bonus, she also loses this bonus",Duelist,,,,Ex
